=name1,surname1,univercity3,faculty2,department1,18,4,3,city3
=name2,surname2,univercity1,faculty2,department3,21,2,3,city1
=name3,surname3,univercity2,faculty3,department3,20,2,1,city1
=name4,surname4,univercity1,faculty1,department3,22,6,2,city1
=name5,surname5,univercity2,faculty3,department2,18,6,3,city2
=name6,surname6,univercity3,faculty1,department1,17,5,1,city2
=name7,surname7,univercity1,faculty3,department1,22,6,3,city1
=name8,surname8,univercity1,faculty1,department2,19,4,1,city2
=name9,surname9,univercity2,faculty2,department2,20,4,3,city3
?name10,surname10,univercity4,faculty2,department2,18,5,2,city2
?name11,surname11,univercity3,faculty3,department2,19,1,2,city3
?name12,surname12,univercity1,faculty2,department3,17,4,3,city1
?name13,surname13,univercity4,faculty3,department3,19,6,3,city1
?name14,surname14,univercity3,faculty2,department2,18,3,2,city2
?name15,surname15,univercity3,faculty3,department2,18,2,2,city2
?name16,surname16,univercity1,faculty1,department3,20,3,3,city1
?name17,surname17,univercity4,faculty2,department2,22,5,2,city1
?name18,surname18,univercity3,faculty2,department3,21,4,2,city3
?name19,surname19,univercity1,faculty3,department1,20,2,1,city3
?name20,surname20,univercity4,faculty1,department3,19,4,3,city2
?name21,surname21,univercity4,faculty1,department3,20,1,3,city3
?name22,surname22,univercity1,faculty1,department1,20,5,2,city1
?name23,surname23,univercity2,faculty3,department2,20,1,2,city1
?name24,surname24,univercity1,faculty2,department3,17,4,2,city1
?name25,surname25,univercity1,faculty2,department2,18,4,2,city3
?name26,surname26,univercity2,faculty3,department1,20,3,1,city3
?name27,surname27,univercity4,faculty1,department1,19,6,3,city2
?name28,surname28,univercity3,faculty2,department3,20,4,2,city2
?name29,surname29,univercity3,faculty1,department2,19,3,2,city1
?name30,surname30,univercity2,faculty3,department1,18,6,1,city3
?name31,surname31,univercity4,faculty1,department3,20,2,1,city2
?name32,surname32,univercity3,faculty3,department3,21,6,2,city2
?name33,surname33,univercity1,faculty2,department3,17,6,1,city3
?name34,surname34,univercity4,faculty3,department1,17,4,3,city2
?name35,surname35,univercity1,faculty3,department1,22,3,3,city3
?name36,surname36,univercity2,faculty3,department3,18,3,1,city1
?name37,surname37,univercity1,faculty2,department3,19,1,2,city1
?name38,surname38,univercity2,faculty2,department1,22,2,1,city3
?name39,surname39,univercity2,faculty3,department2,21,1,1,city2
?name40,surname40,univercity1,faculty2,department3,20,6,3,city2
?name41,surname41,univercity3,faculty3,department3,20,6,3,city3
?name42,surname42,univercity1,faculty2,department2,19,4,1,city3
?name43,surname43,univercity1,faculty1,department3,17,4,3,city1
?name44,surname44,univercity1,faculty2,department2,18,1,2,city1
?name45,surname45,univercity1,faculty3,department3,17,4,2,city2
?name46,surname46,univercity3,faculty1,department2,18,2,1,city1
?name47,surname47,univercity2,faculty3,department1,20,1,2,city3
?name48,surname48,univercity3,faculty3,department2,18,6,2,city2
?name49,surname49,univercity2,faculty1,department2,22,2,2,city1
?name50,surname50,univercity3,faculty3,department1,22,3,1,city2
?name51,surname51,univercity4,faculty2,department3,19,6,1,city3
?name52,surname52,univercity2,faculty1,department2,17,2,2,city2
?name53,surname53,univercity4,faculty2,department3,21,1,1,city1
?name54,surname54,univercity1,faculty3,department2,17,4,3,city3
?name55,surname55,univercity2,faculty3,department2,20,1,2,city3
?name56,surname56,univercity2,faculty2,department3,17,3,3,city1
?name57,surname57,univercity1,faculty3,department3,22,2,2,city2
?name58,surname58,univercity1,faculty2,department1,18,2,1,city3
?name59,surname59,univercity3,faculty2,department2,18,1,3,city1
?name60,surname60,univercity2,faculty3,department2,17,6,3,city2
?name61,surname61,univercity4,faculty1,department3,21,3,1,city3
?name62,surname62,univercity1,faculty2,department1,18,3,2,city1
?name63,surname63,univercity3,faculty2,department2,22,2,3,city3
?name64,surname64,univercity1,faculty2,department3,18,5,3,city3
?name65,surname65,univercity4,faculty2,department3,18,5,3,city1
?name66,surname66,univercity2,faculty2,department2,21,6,3,city2
?name67,surname67,univercity4,faculty1,department3,21,4,1,city3
?name68,surname68,univercity3,faculty3,department1,21,5,3,city3
?name69,surname69,univercity3,faculty1,department2,20,3,1,city1
?name70,surname70,univercity1,faculty1,department1,20,3,3,city1
?name71,surname71,univercity4,faculty3,department1,18,2,1,city1
?name72,surname72,univercity1,faculty3,department2,18,5,1,city2
?name73,surname73,univercity3,faculty3,department2,22,1,2,city3
?name74,surname74,univercity2,faculty1,department1,20,4,2,city3
?name75,surname75,univercity4,faculty3,department1,17,3,2,city2
